K_element_index,K_generator_exponents,factor_E3_keys,degree2_linearization_scalar_mod_31
0,"[0, 0, 0, 0]","[[0, 0], [0, 0], [0, 0], [0, 0]]",1
1,"[0, 0, 0, 1]","[[0, 0], [0, 1], [1, 1], [0, 1]]",16
2,"[0, 0, 0, 2]","[[0, 0], [0, 2], [2, 2], [0, 2]]",8
3,"[0, 0, 1, 0]","[[0, 0], [1, 0], [0, 1], [0, 0]]",10
4,"[0, 0, 1, 1]","[[0, 0], [1, 1], [1, 2], [0, 1]]",5
5,"[0, 0, 1, 2]","[[0, 0], [1, 2], [2, 0], [0, 2]]",18
6,"[0, 0, 2, 0]","[[0, 0], [2, 0], [0, 2], [0, 0]]",7
7,"[0, 0, 2, 1]","[[0, 0], [2, 1], [1, 0], [0, 1]]",19
8,"[0, 0, 2, 2]","[[0, 0], [2, 2], [2, 1], [0, 2]]",25
9,"[0, 1, 0, 0]","[[0, 1], [0, 0], [0, 1], [1, 0]]",28
10,"[0, 1, 0, 1]","[[0, 1], [0, 1], [1, 2], [1, 1]]",14
11,"[0, 1, 0, 2]","[[0, 1], [0, 2], [2, 0], [1, 2]]",7
12,"[0, 1, 1, 0]","[[0, 1], [1, 0], [0, 2], [1, 0]]",1
13,"[0, 1, 1, 1]","[[0, 1], [1, 1], [1, 0], [1, 1]]",16
14,"[0, 1, 1, 2]","[[0, 1], [1, 2], [2, 1], [1, 2]]",8
15,"[0, 1, 2, 0]","[[0, 1], [2, 0], [0, 0], [1, 0]]",10
16,"[0, 1, 2, 1]","[[0, 1], [2, 1], [1, 1], [1, 1]]",5
17,"[0, 1, 2, 2]","[[0, 1], [2, 2], [2, 2], [1, 2]]",18
18,"[0, 2, 0, 0]","[[0, 2], [0, 0], [0, 2], [2, 0]]",9
19,"[0, 2, 0, 1]","[[0, 2], [0, 1], [1, 0], [2, 1]]",20
20,"[0, 2, 0, 2]","[[0, 2], [0, 2], [2, 1], [2, 2]]",10
21,"[0, 2, 1, 0]","[[0, 2], [1, 0], [0, 0], [2, 0]]",28
22,"[0, 2, 1, 1]","[[0, 2], [1, 1], [1, 1], [2, 1]]",14
23,"[0, 2, 1, 2]","[[0, 2], [1, 2], [2, 2], [2, 2]]",7
24,"[0, 2, 2, 0]","[[0, 2], [2, 0], [0, 1], [2, 0]]",1
25,"[0, 2, 2, 1]","[[0, 2], [2, 1], [1, 2], [2, 1]]",16
26,"[0, 2, 2, 2]","[[0, 2], [2, 2], [2, 0], [2, 2]]",8
27,"[1, 0, 0, 0]","[[1, 0], [0, 0], [0, 0], [0, 1]]",10
28,"[1, 0, 0, 1]","[[1, 0], [0, 1], [1, 1], [0, 2]]",5
29,"[1, 0, 0, 2]","[[1, 0], [0, 2], [2, 2], [0, 0]]",18
30,"[1, 0, 1, 0]","[[1, 0], [1, 0], [0, 1], [0, 1]]",7
31,"[1, 0, 1, 1]","[[1, 0], [1, 1], [1, 2], [0, 2]]",19
32,"[1, 0, 1, 2]","[[1, 0], [1, 2], [2, 0], [0, 0]]",25
33,"[1, 0, 2, 0]","[[1, 0], [2, 0], [0, 2], [0, 1]]",8
34,"[1, 0, 2, 1]","[[1, 0], [2, 1], [1, 0], [0, 2]]",4
35,"[1, 0, 2, 2]","[[1, 0], [2, 2], [2, 1], [0, 0]]",2
36,"[1, 1, 0, 0]","[[1, 1], [0, 0], [0, 1], [1, 1]]",1
37,"[1, 1, 0, 1]","[[1, 1], [0, 1], [1, 2], [1, 2]]",16
38,"[1, 1, 0, 2]","[[1, 1], [0, 2], [2, 0], [1, 0]]",8
39,"[1, 1, 1, 0]","[[1, 1], [1, 0], [0, 2], [1, 1]]",10
40,"[1, 1, 1, 1]","[[1, 1], [1, 1], [1, 0], [1, 2]]",5
41,"[1, 1, 1, 2]","[[1, 1], [1, 2], [2, 1], [1, 0]]",18
42,"[1, 1, 2, 0]","[[1, 1], [2, 0], [0, 0], [1, 1]]",7
43,"[1, 1, 2, 1]","[[1, 1], [2, 1], [1, 1], [1, 2]]",19
44,"[1, 1, 2, 2]","[[1, 1], [2, 2], [2, 2], [1, 0]]",25
45,"[1, 2, 0, 0]","[[1, 2], [0, 0], [0, 2], [2, 1]]",28
46,"[1, 2, 0, 1]","[[1, 2], [0, 1], [1, 0], [2, 2]]",14
47,"[1, 2, 0, 2]","[[1, 2], [0, 2], [2, 1], [2, 0]]",7
48,"[1, 2, 1, 0]","[[1, 2], [1, 0], [0, 0], [2, 1]]",1
49,"[1, 2, 1, 1]","[[1, 2], [1, 1], [1, 1], [2, 2]]",16
50,"[1, 2, 1, 2]","[[1, 2], [1, 2], [2, 2], [2, 0]]",8
51,"[1, 2, 2, 0]","[[1, 2], [2, 0], [0, 1], [2, 1]]",10
52,"[1, 2, 2, 1]","[[1, 2], [2, 1], [1, 2], [2, 2]]",5
53,"[1, 2, 2, 2]","[[1, 2], [2, 2], [2, 0], [2, 0]]",18
54,"[2, 0, 0, 0]","[[2, 0], [0, 0], [0, 0], [0, 2]]",7
55,"[2, 0, 0, 1]","[[2, 0], [0, 1], [1, 1], [0, 0]]",19
56,"[2, 0, 0, 2]","[[2, 0], [0, 2], [2, 2], [0, 1]]",25
57,"[2, 0, 1, 0]","[[2, 0], [1, 0], [0, 1], [0, 2]]",8
58,"[2, 0, 1, 1]","[[2, 0], [1, 1], [1, 2], [0, 0]]",4
59,"[2, 0, 1, 2]","[[2, 0], [1, 2], [2, 0], [0, 1]]",2
60,"[2, 0, 2, 0]","[[2, 0], [2, 0], [0, 2], [0, 2]]",18
61,"[2, 0, 2, 1]","[[2, 0], [2, 1], [1, 0], [0, 0]]",9
62,"[2, 0, 2, 2]","[[2, 0], [2, 2], [2, 1], [0, 1]]",20
63,"[2, 1, 0, 0]","[[2, 1], [0, 0], [0, 1], [1, 2]]",10
64,"[2, 1, 0, 1]","[[2, 1], [0, 1], [1, 2], [1, 0]]",5
65,"[2, 1, 0, 2]","[[2, 1], [0, 2], [2, 0], [1, 1]]",18
66,"[2, 1, 1, 0]","[[2, 1], [1, 0], [0, 2], [1, 2]]",7
67,"[2, 1, 1, 1]","[[2, 1], [1, 1], [1, 0], [1, 0]]",19
68,"[2, 1, 1, 2]","[[2, 1], [1, 2], [2, 1], [1, 1]]",25
69,"[2, 1, 2, 0]","[[2, 1], [2, 0], [0, 0], [1, 2]]",8
70,"[2, 1, 2, 1]","[[2, 1], [2, 1], [1, 1], [1, 0]]",4
71,"[2, 1, 2, 2]","[[2, 1], [2, 2], [2, 2], [1, 1]]",2
72,"[2, 2, 0, 0]","[[2, 2], [0, 0], [0, 2], [2, 2]]",1
73,"[2, 2, 0, 1]","[[2, 2], [0, 1], [1, 0], [2, 0]]",16
74,"[2, 2, 0, 2]","[[2, 2], [0, 2], [2, 1], [2, 1]]",8
75,"[2, 2, 1, 0]","[[2, 2], [1, 0], [0, 0], [2, 2]]",10
76,"[2, 2, 1, 1]","[[2, 2], [1, 1], [1, 1], [2, 0]]",5
77,"[2, 2, 1, 2]","[[2, 2], [1, 2], [2, 2], [2, 1]]",18
78,"[2, 2, 2, 0]","[[2, 2], [2, 0], [0, 1], [2, 2]]",7
79,"[2, 2, 2, 1]","[[2, 2], [2, 1], [1, 2], [2, 0]]",19
80,"[2, 2, 2, 2]","[[2, 2], [2, 2], [2, 0], [2, 1]]",25
